Under five mortality,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Czech Republic,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.98,369.17,358.53,349.19,338.81,328.56,318.44,313.83,309.2,304.58,299.94,295.31,290.67,286.01,281.38,276.74,272.13,265.56,260.05,253.62,247.31,241.99,235.84,230.67,224.67,218.75,213.78,208.03,202.34,197.6,192.05,187.4,182,176.67,172.24,167.06,161.98,158.47,155.04,151.63,148.26,144.93,141.62,137.66,134.44,130.58,127.45,122.45,117.65,113.03,108.6,104.33,100.23,96.3,92.51,88.87,85.38,76.15,59.2,47.46,40.52,37.16,34.1,33.23,31.06,27.63,26.4,25.75,27.75,26.88,25.24,29.05,27,26.74,26.28,27.38,25.22,25.31,24.01,24.35,23.5,22.57,22.05,21.56,19.78,18.18,18.55,18.4,18,17.6,17.3,17,16.6,16.2,15.6,15.1,14.5,14,13.2,12.3,11.2,10.2,9.2,8.4,7.6,7,6.6,6.2,6,5.7,5.5,5.2,5,4.7,4.5,4.3,4.1,3.9,3.8,3.6,3.5,3.4
Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,379.99,378.8,377.6,376.4,375.2,374,372.81,371.61,370.41,369.21,368.01,366.84,366.84,365.67,364.49,363.32,362.15,360.97,359.8,358.63,357.45,356.28,355.13,353.98,352.82,351.67,346.04,340.51,335.06,329.69,324.42,319.23,314.12,309.09,304.15,299.28,279.63,252.09,240.26,267.11,270.65,254.61,254.2,232.25,235.97,249.23,285.26,280.66,280.29,276.91,242.84,239.92,261.76,278.6,236.53,192.74,199.8,241.04,271.8,225.69,217.52,188.2,195.03,195.52,260.1,266.75,239.53,221.75,220.88,208.08,212.57,199.61,190.6,188.75,205.33,226.42,211.66,198.03,202.92,207.31,231.4,187.03,221.73,189.67,195.01,176.18,187.63,196.35,211.9,203.9,205.73,206.71,206.98,221.16,196.22,183.77,166.21,168.46,164.77,192.95,163.4,170.55,148.84,146.67,139.49,150.69,135.53,136.16,152.48,123.63,122.15,129.62,115.99,113.97,117.71,112.27,128.89,122.74,99.15,116.58,120,91.35,98.27,101.5,103.21,94.63,98.74,98.95,97.22,93.52,93.95,94.65,85.11,78.34,75.74,87.35,81.05,77.63,70.61,66.94,58.98,64.73,57.58,54.35,59.06,58.34,54.19,45.92,40.57,38.84,34.1,33.4,32.6,31.6,30.5,29.3,28.1,27.1,26.2,25.5,25,24.5,23.8,23,22.1,21.1,20.1,19.1,18.1,17.4,16.6,15.8,14.9,13.9,13.1,12.3,11.6,11.1,10.6,10.3,10,9.7,9.6,9.6,9.6,9.7,9.7,9.7,9.6,9.3,8.9,8.4,7.9,7.4,6.9,6.5,6.2,6,5.8,5.7,5.6,5.5,5.4,5.3,5.1,4.9,4.7,4.5,4.3,4.2,4,3.9,3.8,3.7,3.6,3.5
Djibouti,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.14,445.11,445.04,444.92,444.75,444.5,444.19,443.81,443.35,442.83,442.24,441.58,440.85,440.05,439.18,438.25,437.27,436.26,435.23,434.18,433.14,432.09,431.05,430.01,428.96,427.92,426.87,425.83,424.78,423.74,422.69,421.65,420.6,419.56,418.52,417.47,416.43,415.38,414.34,413.29,412.25,411.2,410.16,409.2,408.26,407.3,406.36,405.41,404.45,403.5,402.54,401.6,375.69,351.05,327.53,305.05,283.51,281.86,277.31,273.43,268.3,263.79,258.09,252.12,245.02,238.94,232.9,226.15,220.3,214.51,208.78,202.3,195.89,193.62,191.37,189.15,186.95,184.78,182.64,180.51,178.42,176.35,174.3,169.4,164.7,160.1,155.8,151.7,147.4,143.3,139.3,135.3,131.7,128.3,125.1,122,119.4,117,115,113.2,111.5,110.2,108.5,106.8,104.9,102.9,100.8,98.4,96,93.5,91,88.5,86,83.5,81,78.5,76.1,73.9,71.7,69.5,67.4,65.3
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,127.2,116.5,107.2,98.9,91.8,85.5,79.9,74.7,69.5,63.9,57.9,51.7,45.5,39.7,34.5,30.1,26.5,23.6,21.4,19.8,18.6,17.9,17.4,17.2,17,17,17,17,17.1,17.1,17.1,17,16.9,16.7,16.5,16.3,16,15.8,15.5,15.3,15.2,15.1,15.1,15.3,15.6,16,16.5,17.1,17.9,18.8,19.6,20.4,21,21.2,21.2
Dominican Republic,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.14,445.11,445.04,444.92,444.75,444.5,444.19,443.81,443.35,442.83,442.24,441.58,440.85,440.05,439.18,438.25,437.27,435.19,433.1,430.99,428.89,426.8,424.71,422.63,420.55,418.48,416.41,414.35,412.29,410.24,408.19,406.15,404.11,402.08,400.06,398.03,396.02,394,392,389.99,388,386.01,372.5,360.5,347.69,336.31,324.18,301.22,279.89,260.07,241.66,224.54,208.64,193.86,180.12,167.36,155.5,155.1,154.8,154.2,153.8,153.3,152.6,151.8,150.7,149.5,147.8,146,143.9,141.4,138.8,136,133.2,130.3,127.5,124.7,121.8,118.7,115.4,111.8,108.2,104.5,100.9,97.4,94,90.7,87.5,84.3,81.3,78.3,75.5,72.7,70.1,67.5,65,62.6,60.2,57.8,55.5,53.3,51.2,49.2,47.3,45.6,44,42.5,41.3,40.1,39.1,38.3,37.5,36.8,36.1,35.5,35,34.4,33.9,33.4,32.9,32.3,31.6,30.9
East Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.95,405.92,405.86,405.75,405.59,405.37,405.09,404.74,404.32,403.85,403.31,402.7,402.04,401.31,400.51,399.67,398.78,397.86,396.91,395.96,395.01,394.06,393.19,392.33,391.47,390.61,389.74,388.88,388.02,387.14,386.28,385.42,384.55,383.68,382.81,381.95,381.08,380.21,379.34,378.48,377.61,376.73,375.86,374.99,374.12,373.25,357.52,342.25,327.41,312.99,298.99,285.35,276.44,267.81,259.45,251.35,243.51,235.91,228.54,221.41,214.5,207.8,201.7,195.8,190.1,184.5,179.2,174.1,169.2,164.3,159.9,155.6,151.8,148.2,144.9,141.4,138,134.3,130.3,126,121.3,116.6,111.8,107.2,102.6,98.3,93.9,89.5,85,80.7,76.6,72.7,69.1,65.7,62.6,59.7,56.9,54.1,51.5,48.8,46.3,43.9,41.6,39.6,37.7,35.9,34.4,33.1,31.9,30.9,30,29.1,28.3,27.5,26.8,26,25.2,24.5,23.7,23,22.3,21.6
Egypt,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.68,404.65,404.58,404.48,404.32,404.1,403.81,403.47,403.05,402.58,402.04,401.44,400.77,400.05,399.26,398.41,397.52,396.61,395.67,394.72,393.77,392.82,392.11,391.39,390.68,389.96,389.24,388.52,387.8,387.08,386.36,385.63,384.91,384.18,411.67,412.14,354.17,387.27,404.77,388.18,397.11,376.01,398,359.55,355.45,341.37,358.57,343.35,403.07,410.91,367.09,379.1,377.2,375.31,373.43,371.55,369.69,367.83,365.98,364.15,362.32,360.5,350.8,341.3,331.7,322.2,312.8,302.9,293.1,283.5,274.8,266.9,260.3,254.8,250.2,246.4,242.9,239.4,235.2,229.7,222.9,214.7,205.7,196.2,186.6,177,167.6,158.1,148.4,138.5,128.5,118.8,110.1,102.5,96,90.6,85.9,81.7,77.5,73.3,68.9,64.6,60.4,56.5,52.8,49.5,46.5,43.8,41.4,39.2,37.3,35.6,34.1,32.7,31.4,30.2,29,27.9,26.8,25.8,24.8,24
El Salvador,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.59,461.55,461.48,461.36,461.18,460.93,460.6,460.21,459.74,459.2,458.58,457.9,457.14,456.31,455.4,454.44,453.43,452.38,451.31,450.23,449.15,448.06,446.95,445.85,444.73,443.62,442.52,441.4,440.3,439.19,438.07,436.97,435.86,434.75,433.64,432.54,431.42,421.34,410.17,400.46,390.95,381.61,371.26,362.27,353.45,343.67,335.13,326.78,318.56,309.44,301.5,293.7,283.78,274.2,264.94,255.99,247.34,238.99,230.92,223.12,215.58,208.3,204,199.5,195.1,191,186.9,183.3,179.6,176,172.7,169.5,166.4,163.5,160.7,158,155.1,152.1,148.9,145.5,141.7,137.4,132.7,127.8,122.4,116.7,110.7,104.5,98.2,92,86,80.4,75.2,70.6,66.5,62.8,59.4,56.3,53.2,50.3,47.4,44.5,41.7,39.1,36.6,34.4,32.4,30.6,29,27.5,26.1,24.8,23.6,22.6,21.6,20.8,20,19.3,18.6,18,17.4,16.8
Equatorial Guinea,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.5,446.47,446.4,446.28,446.11,445.86,445.55,445.16,444.71,444.19,443.59,442.93,442.2,441.39,440.52,439.59,438.61,437.6,436.56,435.51,434.47,433.42,432.37,431.32,430.27,429.23,428.18,427.13,426.08,425.04,423.99,422.94,421.89,420.84,419.8,418.75,417.7,416.65,415.6,414.56,413.51,412.46,411.41,410.37,409.32,408.27,407.22,406.17,405.13,404.19,403.25,402.31,391.74,381.36,371.2,360.11,350.36,348.43,344.35,339.85,334.93,329.64,323.98,317.94,311.55,305.26,299.01,292.8,286.69,280.57,274.46,268.37,262.28,256.16,250.41,244.21,239.18,234.51,230.18,229.33,228.48,227.64,226.79,225.95,225.12,224.28,234.78,228.74,221.8,217.5,213.1,209.1,205.1,201.4,197.5,193.6,189.5,185.8,182,178.3,174.6,171.2,167.6,163.9,160.1,156.1,152.1,147.9,143.8,139.6,135.4,131.2,126.9,122.7,118.4,114.6,110.9,107.3,103.7,100.3,97.4,94.1
Eritrea,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.11,441.08,441.01,440.89,440.72,440.48,440.17,439.79,439.34,438.82,438.24,437.58,436.86,436.06,435.2,434.28,433.31,432.31,431.29,430.26,429.22,428.18,427.15,426.11,425.08,424.04,423.01,421.97,420.94,419.9,418.87,417.83,416.8,415.76,414.73,413.69,412.66,411.62,410.59,409.55,408.52,407.71,406.92,406.11,405.31,404.5,403.7,402.89,402.08,401.27,400.46,399.65,385.66,373.19,359.9,348.04,335.38,333.62,331.85,328.59,324.94,320.91,316.47,311.65,306.44,301.27,292.35,283.7,275.31,267.17,259.26,251.59,244.15,236.92,229.91,223.11,221.4,219.48,217.66,215.54,213.1,208.8,204.7,200.8,197.1,193.9,191,188.2,185.3,182.3,179.1,175.7,171.8,167.5,162.7,157.3,151.4,145,138.2,131.2,124.1,117.3,110.8,104.8,99.2,94,89.1,84.6,80.4,76.5,72.9,69.5,66.3,63.2,60.4,57.9,55.6,53.5,51.6,49.7,48.1,46.5
Eritrea and Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,359.8,357.45,356.28,353.98,351.67,349.37,348.22,345.92,343.64,341.38,340.25,337.99,335.73,333.47,332.37,330.15,327.93,325.72,324.61,322.4,320.22,318.04,316.96,314.78,312.61,310.45,309.38,307.25,305.11,302.98,301.91,299.8,297.7,295.6,294.52,292.38,290.21,290.1,288.91,288.71,284.35,279.96,275.59,271.2,266.81,263.41,259,254.61,250.23,245.84,241.51,237.19,232.91,228.69,224.48,220.35,217.14,213.06,209.05,205.06,201.13,197.23,193.36,190.38,186.57,183.63,179.92,177.04,173.4,170.59,167.01,164.26,160.76,158.05,154.62,150.48,145.66,141.63,137.68,133.04,129.21,125.4,121,117.31,113.03,109.47,105.97,101.89,98.5,91.06,84.17,77.81,71.93,66.5,61.47,56.82,52.53,48.56,44.89,45.06,39.87,35.88,35.58,36.22,29.98,28.76,27.82,28,25.93,27.16,26.31,24.14,24.33,26.68,26.22,26.44,27.2,25.52,27.69,27.1,26.2,25.3,24.5,23.8,23.1,22.6,22,21.5,20.9,20.2,19.5,18.7,17.8,16.8,15.8,14.8,13.8,12.8,11.9,11,10.2,9.4,8.6,7.9,7.3,6.7,6.1,5.5,5,4.5,4.1,3.7,3.4,3.2,3
Ethiopia,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.87,447.83,447.76,447.64,447.47,447.22,446.91,446.52,446.07,445.54,444.95,444.28,443.54,442.74,441.86,440.93,439.95,438.93,437.89,436.84,435.79,434.74,433.69,432.64,431.59,430.54,429.48,428.43,427.38,426.33,425.28,424.23,423.18,422.17,421.16,420.15,419.14,418.12,417.1,416.09,415.08,414.07,413.06,412.04,411.03,410.02,409,407.98,406.97,405.95,404.94,403.92,394.43,385.09,374.8,365.85,357.05,353.92,349.71,343.99,336.85,329.36,320.53,311.65,303.01,294.62,286.45,278.51,270.79,263.29,255.99,248.9,242,241.5,241,241.2,241.1,241.2,241.1,241,241,241.5,242.1,242.7,243,242.8,241.6,239.3,236,232,227.6,223.4,219.3,215.5,212,208.4,204.6,200.2,195,188.9,182,175,168.3,162,156.2,150.8,145.1,139,132.2,124.8,117,109.1,101.3,93.8,86.9,80.8,75.7,71.3,67.7,64.6,61.8,59.2
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkland Is (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.87,498.83,498.75,498.62,498.43,498.15,497.8,497.37,496.86,496.28,495.62,494.87,494.05,493.16,492.18,491.14,490.05,490.52,490.95,491.36,491.77,492.17,492.56,492.94,493.32,493.68,494.04,494.39,494.73,495.07,495.4,495.72,481.5,467.59,454,440.73,427.72,415,402.53,390.31,378.34,366.57,355.04,343.71,332.58,321.66,310.91,286.19,263.42,242.47,223.18,205.43,189.08,174.03,160.18,147.44,135.7,125.9,116.9,108.7,101.3,94.8,89,83.7,79.2,75.2,71.8,68.7,66,63.8,61.7,60,58.5,57.3,56.4,55.8,55.3,54.9,54.6,54.2,53.6,52.8,51.6,50,48.2,46.1,44,42,40,38.3,36.8,35.4,34.1,33,31.8,30.8,29.8,28.8,28,27.2,26.6,26.2,25.8,25.4,25.1,24.8,24.5,24.2,23.9,23.7,23.7,23.7,23.8,23.9,24,24,23.9,23.7,23.5,23.2,22.9,22.4
Finland,420.04,420.04,420.04,420.04,420.04,420.04,414.89,409.79,404.69,399.7,394.71,389.77,384.88,379.99,375.2,370.41,368.01,364.49,362.15,358.63,355.13,352.82,349.37,347.07,343.64,340.25,344.77,349.37,353.98,357.45,362.15,366.84,371.61,375.2,379.99,384.88,377.6,370.41,364.49,357.45,350.52,343.64,336.86,331.26,324.61,318.04,323.5,330.15,335.73,341.38,348.22,353.98,359.8,366.84,372.81,378.8,382.44,379.54,376.67,373.81,370.98,368.17,365.38,362.61,359.86,357.14,354.43,362.47,636.6,225.92,218.46,225.92,281.07,299.15,294.24,277.76,265.2,261.86,311.11,240.93,288.06,319.17,298.72,263.01,264.8,288.08,287.66,225.92,231.76,234.5,238.37,269.39,293.76,241.35,228.75,202.52,215.98,199.56,207.96,240.99,269.6,256.28,214.76,212.26,201.26,216.25,204.98,194.59,207.28,185,191.21,182.86,173.54,175.2,166.76,167.87,176.74,191.82,214.47,225,180.44,140.25,145.4,144.82,157.32,121.74,120.11,139.53,122.2,138.56,106.36,102.75,100.12,106.63,107.69,94.3,93.77,95.45,93.4,99.49,114.5,91.25,75.67,79.01,103.53,98.66,75.67,75.48,64.35,57.57,50.96,42,40.5,38.9,37.3,35.7,34,32.3,30.4,28.6,26.8,25.2,23.8,22.5,21.3,20.2,19.3,18.4,17.6,16.9,16.1,15.4,14.6,13.8,13.1,12.2,11.4,10.6,9.9,9.2,8.7,8.2,7.9,7.6,7.4,7.3,7.3,7.2,7.1,6.9,6.7,6.4,6.1,5.8,5.5,5.2,4.9,4.7,4.6,4.4,4.3,4.2,4.1,4,3.9,3.8,3.6,3.5,3.3,3.2,3,2.9,2.7,2.6,2.4,2.3
