"Name","Team","POS","Salary","Years","Total.Value","Avg.Annual"
"Carlos Santana","CLE","C","$ 8,450,000","5 (2012-16)","$ 21,001,900","$ 4,200,380"
"Drew Storen","TOR","RP","$ 8,375,000","1 (2016)","$ 8,375,000","$ 8,375,000"
"Asdrubal Cabrera","NYM","SS","$ 8,250,000","2 (2016-17)","$ 18,500,000","$ 9,250,000"
"Eric Hosmer","KC","1B","$ 8,250,000","2 (2015-16)","$ 13,900,000","$ 6,950,000"
"Todd Frazier","CWS","3B","$ 8,250,000","2 (2015-16)","$ 12,000,000","$ 6,000,000"
"Brandon Moss","STL","1B","$ 8,250,000","1 (2016)","$ 8,250,000","$ 8,250,000"
"Chris Johnson","MIA","3B","$ 8,007,500","3 (2015-17)","$ 23,500,000","$ 7,833,333"
"Kyle Seager","SEA","3B","$ 8,000,000","7 (2015-21)","$ 100,000,000","$ 14,285,714"
"Daniel Murphy","WSH","2B","$ 8,000,000","3 (2016-18)","$ 37,500,000","$ 12,500,000"
"Scott Feldman","HOU","SP","$ 8,000,000","3 (2014-16)","$ 30,000,000","$ 10,000,000"
"Gerardo Parra","COL","LF","$ 8,000,000","3 (2016-18)","$ 27,500,000","$ 9,166,666"
"Charlie Morton","PHI","SP","$ 8,000,000","3 (2014-16)","$ 21,000,000","$ 7,000,000"
"Huston Street","LAA","RP","$ 8,000,000","2 (2016-17)","$ 18,000,000","$ 9,000,000"
"Michael Morse","PIT","1B","$ 8,000,000","2 (2015-16)","$ 16,000,000","$ 8,000,000"
"Mike Pelfrey","DET","SP","$ 8,000,000","2 (2016-17)","$ 16,000,000","$ 8,000,000"
"Adam Lind","SEA","1B","$ 8,000,000","1 (2016)","$ 8,000,000","$ 8,000,000"
"Cameron Maybin","DET","OF","$ 8,000,000","1 (2016)","$ 8,000,000","$ 8,000,000"
"Dexter Fowler","CHC","CF","$ 8,000,000","1 (2016)","$ 8,000,000","$ 8,000,000"
"Ian Desmond","TEX","LF","$ 8,000,000","1 (2016)","$ 8,000,000","$ 8,000,000"
"Wade Davis","KC","RP","$ 8,000,000","1 (2016)","$ 8,000,000","$ 8,000,000"
"Starlin Castro","NYY","2B","$ 7,857,142","7 (2013-19)","$ 60,000,000","$ 8,571,428"
"Hyun-Jin Ryu","LAD","SP","$ 7,833,333","6 (2013-18)","$ 36,000,000","$ 6,000,000"
"Omar Infante","KC","2B","$ 7,750,000","4 (2014-17)","$ 30,250,000","$ 7,562,500"
"Ian Kennedy","KC","SP","$ 7,500,000","5 (2016-20)","$ 70,000,000","$ 14,000,000"
"Yasmany Tomas","ARI","OF","$ 7,500,000","6 (2015-20)","$ 68,500,000","$ 11,416,666"
"Alex Guerrero","LAD","SS","$ 7,500,000","4 (2014-17)","$ 28,000,000","$ 7,000,000"
"Jed Lowrie","OAK","2B","$ 7,500,000","3 (2015-17)","$ 23,000,000","$ 7,666,666"
"Lance Lynn","STL","SP","$ 7,500,000","3 (2015-17)","$ 22,000,000","$ 7,333,333"
"Joaquin Benoit","SEA","RP","$ 7,500,000","1 (2016)","$ 7,500,000","$ 7,500,000"
"Francisco Rodriguez","DET","RP","$ 7,383,481","2 (2015-16)","$ 13,000,000","$ 6,500,000"
"Michael Brantley","CLE","OF","$ 7,375,000","4 (2014-17)","$ 25,000,000","$ 6,250,000"
"Bartolo Colon","NYM","SP","$ 7,250,000","1 (2016)","$ 7,250,000","$ 7,250,000"
"Dallas Keuchel","HOU","SP","$ 7,250,000","1 (2016)","$ 7,250,000","$ 7,250,000"
"Trevor Plouffe","MIN","3B","$ 7,250,000","1 (2016)","$ 7,250,000","$ 7,250,000"
"Yasiel Puig","LAD","RF","$ 7,214,285","7 (2012-18)","$ 42,000,000","$ 6,000,000"
"Andrew Cashner","SD","SP","$ 7,150,000","1 (2016)","$ 7,150,000","$ 7,150,000"
"Joakim Soria","KC","RP","$ 7,000,000","3 (2016-18)","$ 25,000,000","$ 8,333,333"
"Yunel Escobar","LAA","3B","$ 7,000,000","2 (2015-16)","$ 13,000,000","$ 6,500,000"
"Chase Utley","LAD","2B","$ 7,000,000","1 (2016)","$ 7,000,000","$ 7,000,000"
"Doug Fister","HOU","SP","$ 7,000,000","1 (2016)","$ 7,000,000","$ 7,000,000"
"Jeremy Hellickson","PHI","SP","$ 7,000,000","1 (2016)","$ 7,000,000","$ 7,000,000"
"Mike Napoli","CLE","1B","$ 7,000,000","1 (2016)","$ 7,000,000","$ 7,000,000"
"J.D. Martinez","DET","RF","$ 6,750,000","2 (2016-17)","$ 18,500,000","$ 9,250,000"
"Luke Gregerson","HOU","RP","$ 6,750,000","3 (2015-17)","$ 18,500,000","$ 6,166,666"
"Seth Smith","SEA","RF","$ 6,750,000","2 (2015-16)","$ 13,000,000","$ 6,500,000"
"Zach Britton","BAL","RP","$ 6,750,000","1 (2016)","$ 6,750,000","$ 6,750,000"
"Lucas Duda","NYM","1B","$ 6,725,000","1 (2016)","$ 6,725,000","$ 6,725,000"
"Ryan Madson","OAK","RP","$ 6,666,667","3 (2016-18)","$ 22,000,000","$ 7,333,333"
"Josh Reddick","OAK","RF","$ 6,575,000","1 (2016)","$ 6,575,000","$ 6,575,000"
"Matt Carpenter","STL","3B","$ 6,500,000","6 (2014-19)","$ 52,000,000","$ 8,666,666"
"Lorenzo Cain","KC","CF","$ 6,500,000","2 (2016-17)","$ 17,500,000","$ 8,750,000"
"Chris Young","BOS","LF","$ 6,500,000","2 (2016-17)","$ 13,000,000","$ 6,500,000"
"Pat Neshek","HOU","RP","$ 6,500,000","2 (2015-16)","$ 12,500,000","$ 6,250,000"
"Santiago Casilla","SF","RP","$ 6,500,000","1 (2016)","$ 6,500,000","$ 6,500,000"
"Garrett Richards","LAA","SP","$ 6,425,000","1 (2016)","$ 6,425,000","$ 6,425,000"
"Glen Perkins","MIN","RP","$ 6,300,000","4 (2014-17)","$ 22,175,000","$ 5,543,750"
"Boone Logan","COL","RP","$ 6,250,000","3 (2014-16)","$ 16,500,000","$ 5,500,000"
"Ben Revere","WSH","CF","$ 6,250,000","1 (2016)","$ 6,250,000","$ 6,250,000"
"J.P. Howell","LAD","RP","$ 6,250,000","1 (2016)","$ 6,250,000","$ 6,250,000"
"Jon Jay","SD","CF","$ 6,225,000","2 (2015-16)","$ 10,975,000","$ 5,487,500"
"Chris Tillman","BAL","SP","$ 6,225,000","1 (2016)","$ 6,225,000","$ 6,225,000"
"Brandon Belt","SF","1B","$ 6,200,000","1 (2016)","$ 6,200,000","$ 6,200,000"
"Travis Wood","CHC","RP","$ 6,170,000","1 (2016)","$ 6,170,000","$ 6,170,000"
"Jason Kipnis","CLE","2B","$ 6,166,667","6 (2014-19)","$ 52,500,000","$ 8,750,000"
"Luis Valbuena","HOU","3B","$ 6,125,000","1 (2016)","$ 6,125,000","$ 6,125,000"
"Tyler Clippard","ARI","RP","$ 6,100,000","2 (2016-17)","$ 12,250,000","$ 6,125,000"
"Brandon Crawford","SF","SS","$ 6,000,000","6 (2016-21)","$ 75,000,000","$ 12,500,000"
"Andrelton Simmons","LAA","SS","$ 6,000,000","7 (2014-20)","$ 58,000,000","$ 8,285,714"
"Wade Miley","SEA","SP","$ 6,000,000","3 (2015-17)","$ 19,250,000","$ 6,416,666"
"Tony Sipp","HOU","RP","$ 6,000,000","3 (2016-18)","$ 18,000,000","$ 6,000,000"
"Kurt Suzuki","MIN","C","$ 6,000,000","2 (2015-16)","$ 12,000,000","$ 6,000,000"
"Colby Lewis","TEX","SP","$ 6,000,000","1 (2016)","$ 6,000,000","$ 6,000,000"
"Rich Hill","OAK","SP","$ 6,000,000","1 (2016)","$ 6,000,000","$ 6,000,000"
"Darren O'Day","BAL","RP","$ 5,854,712","4 (2016-19)","$ 31,000,000","$ 7,750,000"
"Paul Goldschmidt","ARI","1B","$ 5,833,333","5 (2014-18)","$ 32,000,000","$ 6,400,000"
"Alejandro De Aza","NYM","LF","$ 5,750,000","1 (2016)","$ 5,750,000","$ 5,750,000"
"Pedro Alvarez","BAL","1B","$ 5,731,704","1 (2016)","$ 5,731,704","$ 5,731,704"
"Mitch Moreland","TEX","1B","$ 5,700,000","1 (2016)","$ 5,700,000","$ 5,700,000"
"Mike Moustakas","KC","3B","$ 5,600,000","2 (2016-17)","$ 14,300,000","$ 7,150,000"
"Nathan Eovaldi","NYY","SP","$ 5,600,000","1 (2016)","$ 5,600,000","$ 5,600,000"
"Trevor Rosenthal","STL","RP","$ 5,600,000","1 (2016)","$ 5,600,000","$ 5,600,000"
"Mark Lowe","DET","RP","$ 5,500,000","2 (2016-17)","$ 11,000,000","$ 5,500,000"
"Brad Ziegler","ARI","P","$ 5,500,000","2 (2014-15)","$ 10,500,000","$ 5,250,000"
"Luke Hochevar","KC","RP","$ 5,500,000","2 (2015-16)","$ 10,000,000","$ 5,000,000"
"Kris Medlen","KC","P","$ 5,500,000","2 (2015-16)","$ 8,500,000","$ 4,250,000"
"Nori Aoki","SEA","LF","$ 5,500,000","1 (2016)","$ 5,500,000","$ 5,500,000"
"Jose Quintana","CWS","SP","$ 5,400,000","5 (2014-18)","$ 21,000,000","$ 4,200,000"
"Antonio Bastardo","NYM","RP","$ 5,375,000","2 (2016-17)","$ 12,000,000","$ 6,000,000"
"Wilson Ramos","WSH","C","$ 5,350,000","1 (2016)","$ 5,350,000","$ 5,350,000"
"Kevin Jepsen","MIN","RP","$ 5,312,000","1 (2016)","$ 5,312,000","$ 5,312,000"
"Addison Reed","NYM","RP","$ 5,300,000","1 (2016)","$ 5,300,000","$ 5,300,000"
"Anthony Rizzo","CHC","1B","$ 5,285,714","7 (2013-19)","$ 41,000,000","$ 5,857,142"
"Josh Harrison","PIT","2B","$ 5,250,000","4 (2015-18)","$ 27,300,000","$ 6,825,000"
"Joe Smith","LAA","RP","$ 5,250,000","3 (2014-16)","$ 15,750,000","$ 5,250,000"
"Alcides Escobar","KC","SS","$ 5,250,000","1 (2016)","$ 5,250,000","$ 1,312,500"
"Rajai Davis","CLE","CF","$ 5,250,000","1 (2016)","$ 5,250,000","$ 5,250,000"
"Matt Moore","TB","SP","$ 5,100,000","5 (2012-16)","$ 14,000,000","$ 2,800,000"
"Justin Turner","LAD","3B","$ 5,100,000","1 (2016)","$ 5,100,000","$ 5,100,000"
"Devin Mesoraco","CIN","C","$ 5,025,000","4 (2015-18)","$ 28,000,000","$ 7,000,000"
"Denard Span","SF","CF","$ 5,000,000","3 (2016-18)","$ 31,000,000","$ 10,333,333"
"Zach Duke","CWS","RP","$ 5,000,000","3 (2015-17)","$ 15,000,000","$ 5,000,000"
"Javier Lopez","SF","RP","$ 5,000,000","3 (2014-16)","$ 13,000,000","$ 4,333,333"
"Jason Motte","COL","RP","$ 5,000,000","2 (2016-17)","$ 10,000,000","$ 5,000,000"
"Bryce Harper","WSH","RF","$ 5,000,000","2 (2015-16)","$ 7,500,000","$ 3,750,000"
"Austin Jackson","CWS","CF","$ 5,000,000","1 (2016)","$ 5,000,000","$ 5,000,000"
"Hector Santiago","LAA","SP","$ 5,000,000","1 (2016)","$ 5,000,000","$ 5,000,000"
"Jason Castro","HOU","C","$ 5,000,000","1 (2016)","$ 5,000,000","$ 5,000,000"
"Manny Machado","BAL","3B","$ 5,000,000","1 (2016)","$ 5,000,000","$ 5,000,000"
"Nolan Arenado","COL","3B","$ 5,000,000","1 (2016)","$ 5,000,000","$ 5,000,000"
"Chris Coghlan","OAK","RF","$ 4,800,000","1 (2016)","$ 4,800,000","$ 4,800,000"
"Jake McGee","COL","RP","$ 4,800,000","1 (2016)","$ 4,800,000","$ 4,800,000"
"Steve Pearce","TB","1B","$ 4,750,000","1 (2016)","$ 4,750,000","$ 4,750,000"
"Corey Kluber","CLE","SP","$ 4,700,000","5 (2015-19)","$ 38,500,000","$ 7,700,000"
"Carlos Carrasco","CLE","SP","$ 4,500,000","4 (2015-18)","$ 22,000,000","$ 5,500,000"
"John Axford","OAK","RP","$ 4,500,000","2 (2016-17)","$ 10,000,000","$ 5,000,000"
"A.J. Ellis","LAD","C","$ 4,500,000","1 (2016)","$ 4,500,000","$ 4,500,000"
"Tommy Milone","MIN","RP","$ 4,500,000","1 (2016)","$ 4,500,000","$ 4,500,000"
"Pedro Strop","CHC","RP","$ 4,400,000","1 (2016)","$ 4,400,000","$ 4,400,000"
